link,title,author,journal,journal_issue,year,citation
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:4OULZ7Gr8RgC,Biological synthesis of nanoparticles from plants and microorganisms,"P Singh, YJ Kim, D Zhang, DC Yang",Trends in biotechnology,34 (7),2016,2112
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:lSLTfruPkqcC,Gold nanoparticles in diagnostics and therapeutics for human cancer,"P Singh, S Pandit, V Mokkapati, A Garg, V Ravikumar, I Mijakovic",International journal of molecular sciences,19 (7),2018,1252
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:f2IySw72cVMC,Interactions of gold and silver nanoparticles with bacterial biofilms: Molecular interactions behind inhibition and resistance,"AS Joshi, P Singh, I Mijakovic",International journal of molecular sciences,21 (20),2020,337
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:roLk4NBRz8UC,"Green synthesis of silver nanoparticles by Bacillus methylotrophicus, and their antimicrobial activity","C Wang, YJ Kim, P Singh, R Mathiyalagan, Y Jin, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (4),2016,314
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:a0OBvERweLwC,Ecofriendly synthesis of silver and gold nanoparticles by Euphrasia officinalis leaf extract and its biomedical applications,"H Singh, J Du, P Singh, TH Yi","Artificial cells, nanomedicine, and biotechnology",46 (6),2018,295
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:zYLM7Y9cAGgC,"Biosynthesis, characterization, and antimicrobial applications of silver nanoparticles","P Singh, YJ Kim, H Singh, C Wang, KH Hwang, MEA Farh, DC Yang",International journal of nanomedicine,,2015,291
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:_Qo2XoVZTnwC,Green synthesis of gold and silver nanoparticles from Cannabis sativa (industrial hemp) and their capacity for biofilm inhibition,"P Singh, S Pandit, J Garnæs, S Tunjic, VRSS Mokkapati, A Sultan, ...",International journal of nanomedicine,,2018,285
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:Tyk-4Ss8FVUC,"The development of a green approach for the biosynthesis of silver and gold nanoparticles by using Panax ginseng root extract, and their biological applications","P Singh, YJ Kim, C Wang, R Mathiyalagan, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (4),2016,237
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:SeFeTyx0c_EC,Antimicrobial effects of biogenic nanoparticles,"P Singh, A Garg, S Pandit, V Mokkapati, I Mijakovic",Nanomaterials,8 (12),2018,235
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:4JMBOYKVnBMC,Extracellular synthesis of silver nanoparticles by Pseudomonas sp. THG-LS1. 4 and their antimicrobial application,"H Singh, J Du, P Singh, TH Yi",Journal of pharmaceutical analysis,8 (4),2018,235
